Имя,Объяснение,Составляющее 1,Составляющее 2,Пол
Алёна,"Алая, аленькая",Алый,,Женский
Белослава,Белая/яркая слава,Белый,Слава,Женский
Блажена,Блаженная,Блажен,,Женский
Богдана,Богом данная,Богом,Дана,Женский
Богумила,Богу мила,Бог,Милый,Женский
Бранислава,Слава брани,Брань,Слава,Женский
Веда,Ведающая,Ведать,,Женский
Велимира,Великий мир,Величие,Мир,Женский
Вера,Верующая,Вера,,Женский
Веселина,Весёлая,Веселье,,Женский
Ветрана,Ветренная,Ветер,,Женский
Видеслава,Видит славу,Видеть,Слава,Женский
Владимира,Владеет миром,Владеть,Мир,Женский
Властимира,Власть мира,Власть,Мир,Женский
Всластислава,Слава власти,Власть,Слава,Женский
Годислава,Годная к славе,Годится,Слава,Женский
Гордана,Слава гордости,Гордость,Слава,Женский
Гостимира,Гостья мира,Гость,Мир,Женский
Дана,Данная,Дан,,Женский
Дарина,Подаренная,Дар,,Женский
Даромила,Милый дар,Дар,Милый,Женский
Добрана,Добрая,Добро,,Женский
Добродея,Делающая добро,Добро,Дей,Женский
Доброслава,Слава добру,Добро,слава,Женский
Драга,Дорогая,Дорогой,,Женский
Дружана,Дружная,Друг,,Женский
Душана,Душевная,Дух,,Женский
Есения,осенняя,Есень,,Женский
Ждана,желанная,Ждать,,Женский
Злата,Золотая,Золото,,Женский
Златослава,Слава злату,Золото,Слава,Женский
Красава,Красивая,красивый,,Женский
Краса,Красивая,Красивый,,Женский
Красимира,Красота мира,Красивый,Мир,Женский
Купава,Кувшинка,Купава,,Женский
Лада,Ладная,Ладить,,Женский
Ладомира,Ладный мир,Ладить,Мир,Женский
Ладомила,Милая ладная,Ладить,Мила,Женский
Ладослава,Ладная слава,Ладить,Слава,Женский
Люба,Любимая,Любовь,,Женский
Любислава,Слава любви,Любовь,Слава,Женский
Любомила,Любимая милая,Любовь,Милый,Женский
Любислава,слава любимой ,Любовь,Слава,Женский
Людмила,Людям милая,Люди,Милый,Женский
Милослава,Славная милая,Милый,Слава,Женский
Милана,Милая,Милый,,Женский
Милорада,Милая и радостная,Мила,Рада,Женский
Надежда,Надежда,Надежда,,Женский
неждана,"Нежданная, не ожиданная",Нет,Ждать,Женский
Негомила,Милая нега,Нега,Милый,Женский
Озара,Озарённая,Озарён,,Женский
Олислава,Слава лесу,Олиса,Слава,Женский
Отрада,Отрадная,Отрада,,Женский
Переслава,перенявшая славу,Перенять,Слава,Женский
Перекраса,Перенявшая Красоту,Перенять,Краса,Женский
Рада,Радостная,Рада,,Женский
Радимила,Радостная и милая,Рада,Милый,Женский
радислава,Славная радость,Рада,Слава,Женский
РОстислава,рости славной,Рост,Слава,Женский
Светлана,Светлая,Свет,,Женский
Светозара,Озаренная светом,Свет,озарён,Женский
Светолика,Светлый лик,Свет ,Лик,Женский
Светомира,Свет мира,Свет,Мир,Женский
Святава,Святая,Свят,,Женский
Семислава,Семь раз славная,Семь,Слава,Женский
Снежана,Снежная,Снег,,Женский
